Dimension-1 Parameter,Dimension-1 Value,Coherence_NG3_L4_SS_L4_Sum_accuracy,GrCaus_NG3_L4_SS_L4_Information_accuracy,NormError_SimErr_accuracy,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_accuracy,Coherence_NG3_L4_SS_L4_Sum_p,GrCaus_NG3_L4_SS_L4_Information_p,NormError_SimErr_p,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_p,Coherence_NG3_L4_SS_L4_Sum_conf_min,GrCaus_NG3_L4_SS_L4_Information_conf_min,NormError_SimErr_conf_min,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_conf_min,Coherence_NG3_L4_SS_L4_Sum_conf_max,GrCaus_NG3_L4_SS_L4_Information_conf_max,NormError_SimErr_conf_max,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_conf_max
delay_CI_CI,11.5,0.833333333333,0.9,0.533333333333,0.666666666667,0.0,0.0,0.007,0.0,0.653,0.735,0.343,0.472,0.944,0.979,0.717,0.827
delay_CI_CI,11.75,0.833333333333,0.9,0.533333333333,0.7,0.0,0.0,0.007,0.0,0.653,0.735,0.343,0.506,0.944,0.979,0.717,0.853
delay_CI_CI,12.0,0.833333333333,0.9,0.533333333333,0.7,0.0,0.0,0.007,0.0,0.653,0.735,0.343,0.506,0.944,0.979,0.717,0.853
delay_CI_CI,12.25,0.833333333333,0.9,0.5,0.733333333333,0.0,0.0,0.019,0.0,0.653,0.735,0.313,0.541,0.944,0.979,0.687,0.877
delay_CI_CI,12.5,0.866666666667,0.933333333333,0.5,0.7,0.0,0.0,0.019,0.0,0.693,0.779,0.313,0.506,0.962,0.992,0.687,0.853
delay_CI_CI,12.75,0.866666666667,0.933333333333,0.5,0.733333333333,0.0,0.0,0.019,0.0,0.693,0.779,0.313,0.541,0.962,0.992,0.687,0.877
delay_CI_CI,13.0,0.9,0.966666666667,0.5,0.7,0.0,0.0,0.019,0.0,0.735,0.828,0.313,0.506,0.979,0.999,0.687,0.853
delay_CI_CI,13.25,0.9,0.933333333333,0.5,0.8,0.0,0.0,0.019,0.0,0.735,0.779,0.313,0.614,0.979,0.992,0.687,0.923
delay_CI_CI,13.5,0.866666666667,0.9,0.5,0.7,0.0,0.0,0.019,0.0,0.693,0.735,0.313,0.506,0.962,0.979,0.687,0.853
delay_CI_CI,13.75,0.866666666667,0.9,0.5,0.766666666667,0.0,0.0,0.019,0.0,0.693,0.735,0.313,0.577,0.962,0.979,0.687,0.901
delay_CI_CI,14.0,0.866666666667,0.9,0.5,0.733333333333,0.0,0.0,0.019,0.0,0.693,0.735,0.313,0.541,0.962,0.979,0.687,0.877
delay_CI_CI,14.25,0.866666666667,0.9,0.5,0.766666666667,0.0,0.0,0.019,0.0,0.693,0.735,0.313,0.577,0.962,0.979,0.687,0.901
delay_CI_CI,14.5,0.866666666667,0.9,0.5,0.766666666667,0.0,0.0,0.019,0.0,0.693,0.735,0.313,0.577,0.962,0.979,0.687,0.901
delay_CI_CI,14.75,0.866666666667,0.933333333333,0.5,0.8,0.0,0.0,0.019,0.0,0.693,0.779,0.313,0.614,0.962,0.992,0.687,0.923
delay_CI_CI,15.0,0.833333333333,0.933333333333,0.5,0.733333333333,0.0,0.0,0.019,0.0,0.653,0.779,0.313,0.541,0.944,0.992,0.687,0.877
delay_CI_CI,15.25,0.866666666667,0.966666666667,0.5,0.733333333333,0.0,0.0,0.019,0.0,0.693,0.828,0.313,0.541,0.962,0.999,0.687,0.877
delay_CI_CI,15.5,0.866666666667,0.966666666667,0.533333333333,0.733333333333,0.0,0.0,0.007,0.0,0.693,0.828,0.343,0.541,0.962,0.999,0.717,0.877
delay_CI_CI,15.75,0.9,0.966666666667,0.533333333333,0.8,0.0,0.0,0.007,0.0,0.735,0.828,0.343,0.614,0.979,0.999,0.717,0.923
delay_CI_CI,16.0,0.9,0.966666666667,0.533333333333,0.8,0.0,0.0,0.007,0.0,0.735,0.828,0.343,0.614,0.979,0.999,0.717,0.923
delay_CI_CI,16.25,0.866666666667,0.966666666667,0.533333333333,0.8,0.0,0.0,0.007,0.0,0.693,0.828,0.343,0.614,0.962,0.999,0.717,0.923
delay_CI_CI,16.5,0.9,0.966666666667,0.533333333333,0.8,0.0,0.0,0.007,0.0,0.735,0.828,0.343,0.614,0.979,0.999,0.717,0.923
delay_CI_CI,16.75,0.9,0.966666666667,0.533333333333,0.8,0.0,0.0,0.007,0.0,0.735,0.828,0.343,0.614,0.979,0.999,0.717,0.923
delay_CI_CI,17.0,0.9,0.966666666667,0.533333333333,0.766666666667,0.0,0.0,0.007,0.0,0.735,0.828,0.343,0.577,0.979,0.999,0.717,0.901
delay_CI_CI,17.25,0.9,0.966666666667,0.5,0.833333333333,0.0,0.0,0.019,0.0,0.735,0.828,0.313,0.653,0.979,0.999,0.687,0.944
delay_CI_CI,17.5,0.9,0.966666666667,0.466666666667,0.766666666667,0.0,0.0,0.043,0.0,0.735,0.828,0.283,0.577,0.979,0.999,0.657,0.901
delay_CI_CI,17.75,0.9,0.966666666667,0.466666666667,0.766666666667,0.0,0.0,0.043,0.0,0.735,0.828,0.283,0.577,0.979,0.999,0.657,0.901
delay_CI_CI,18.0,0.9,0.966666666667,0.5,0.766666666667,0.0,0.0,0.019,0.0,0.735,0.828,0.313,0.577,0.979,0.999,0.687,0.901
